time,x,y,z
1.98000000,1.39787887,0.91743796,0.00000000
2.00000000,1.41614684,0.90929743,0.00000000
2.02000000,1.43424835,0.90079319,0.00000000
2.04000000,1.45217616,0.89192865,0.00000000
2.06000000,1.46992311,0.88270735,0.00000000
2.08000000,1.48748210,0.87313298,0.00000000
2.10000000,1.50484610,0.86320937,0.00000000
2.12000000,1.52200818,0.85294048,0.00000000
2.14000000,1.53896145,0.84233043,0.00000000
2.16000000,1.55569915,0.83138346,0.00000000
2.18000000,1.57221457,0.82010395,0.00000000
2.20000000,1.58850112,0.80849640,0.00000000
2.22000000,1.60455227,0.79656547,0.00000000
2.24000000,1.62036161,0.78431593,0.00000000
2.26000000,1.63592282,0.77175266,0.00000000
2.28000000,1.65122966,0.75888071,0.00000000
2.30000000,1.66627602,0.74570521,0.00000000
2.32000000,1.68105588,0.73223144,0.00000000
2.34000000,1.69556333,0.71846479,0.00000000
2.36000000,1.70979256,0.70441077,0.00000000
2.38000000,1.72373788,0.69007498,0.00000000
2.40000000,1.73739372,0.67546318,0.00000000
2.42000000,1.75075460,0.66058120,0.00000000
2.44000000,1.76381520,0.64543500,0.00000000
2.46000000,1.77657028,0.63003063,0.00000000
2.48000000,1.78901475,0.61437426,0.00000000
2.50000000,1.80114362,0.59847214,0.00000000
2.52000000,1.81295204,0.58233065,0.00000000
2.54000000,1.82443529,0.56595623,0.00000000
2.56000000,1.83558878,0.54935544,0.00000000
2.58000000,1.84640804,0.53253491,0.00000000
2.60000000,1.85688875,0.51550137,0.00000000
2.62000000,1.86702672,0.49826164,0.00000000
2.64000000,1.87681789,0.48082261,0.00000000
2.66000000,1.88625834,0.46319126,0.00000000
2.68000000,1.89534431,0.44537464,0.00000000
2.70000000,1.90407214,0.42737988,0.00000000
2.72000000,1.91243836,0.40921417,0.00000000
2.74000000,1.92043962,0.39088478,0.00000000
2.76000000,1.92807271,0.37239904,0.00000000
2.78000000,1.93533459,0.35376435,0.00000000
2.80000000,1.94222234,0.33498815,0.00000000
2.82000000,1.94873322,0.31607796,0.00000000
2.84000000,1.95486462,0.29704135,0.00000000
2.86000000,1.96061408,0.27788593,0.00000000
2.88000000,1.96597931,0.25861935,0.00000000
2.90000000,1.97095817,0.23924933,0.00000000
2.92000000,1.97554865,0.21978361,0.00000000
2.94000000,1.97974892,0.20022998,0.00000000
2.96000000,1.98355731,0.18059627,0.00000000
2.98000000,1.98697229,0.16089031,0.00000000
3.00000000,1.98999250,0.14112001,0.00000000
3.02000000,1.99261672,0.12129326,0.00000000
3.04000000,1.99484390,0.10141799,0.00000000
3.06000000,1.99667317,0.08150215,0.00000000
3.08000000,1.99810377,0.06155372,0.00000000
3.10000000,1.99913515,0.04158066,0.00000000
3.12000000,1.99976689,0.02159098,0.00000000
3.14000000,1.99999873,0.00159265,0.00000000
3.16000000,1.99983059,-0.01840631,0.00000000
3.18000000,1.99926253,-0.03839790,0.00000000
3.20000000,1.99829478,-0.05837414,0.00000000
3.22000000,1.99692772,-0.07832703,0.00000000
3.24000000,1.99516190,-0.09824859,0.00000000
3.26000000,1.99299804,-0.11813086,0.00000000
3.28000000,1.99043698,-0.13796587,0.00000000
3.30000000,1.98747977,-0.15774569,0.00000000
3.32000000,1.98412758,-0.17746242,0.00000000
3.34000000,1.98038175,-0.19710817,0.00000000
3.36000000,1.97624378,-0.21667508,0.00000000
3.38000000,1.97171532,-0.23615532,0.00000000
3.40000000,1.96679819,-0.25554110,0.00000000
3.42000000,1.96149436,-0.27482467,0.00000000
3.44000000,1.95580594,-0.29399831,0.00000000
3.46000000,1.94973521,-0.31305436,0.00000000
3.48000000,1.94328460,-0.33198519,0.00000000
3.50000000,1.93645669,-0.35078323,0.00000000
3.52000000,1.92925421,-0.36944096,0.00000000
3.54000000,1.92168003,-0.38795092,0.00000000
3.56000000,1.91373720,-0.40630570,0.00000000
3.58000000,1.90542889,-0.42449797,0.00000000
3.60000000,1.89675842,-0.44252044,0.00000000
3.62000000,1.88772925,-0.46036591,0.00000000
3.64000000,1.87834501,-0.47802725,0.00000000
