time,x,y,z,vx,vy,vz
10.60000000,1.70744687,-1.53971858,0.00000000,-1.53971858,-0.70744687,0.00000000
10.70000000,1.55347501,-1.61046327,0.00000000,-1.61046327,-0.55347501,0.00000000
10.80000000,1.39242868,-1.66581077,0.00000000,-1.66581077,-0.39242868,0.00000000
10.90000000,1.22584761,-1.70505364,0.00000000,-1.70505364,-0.22584761,0.00000000
11.00000000,1.05534224,-1.72763840,0.00000000,-1.72763840,-0.05534224,0.00000000
11.10000000,0.88257840,-1.73317262,0.00000000,-1.73317262,0.11742160,0.00000000
11.20000000,0.70926114,-1.72143046,0.00000000,-1.72143046,0.29073886,0.00000000
11.30000000,0.53711809,-1.69235658,0.00000000,-1.69235658,0.46288191,0.00000000
11.40000000,0.36788244,-1.64606839,0.00000000,-1.64606839,0.63211756,0.00000000
11.50000000,0.20327560,-1.58285663,0.00000000,-1.58285663,0.79672440,0.00000000
11.60000000,0.04498993,-1.50318419,0.00000000,-1.50318419,0.95501007,0.00000000
11.70000000,-0.10532848,-1.40768318,0.00000000,-1.40768318,1.10532848,0.00000000
11.80000000,-0.24609680,-1.29715033,0.00000000,-1.29715033,1.24609680,0.00000000
11.90000000,-0.37581184,-1.17254065,0.00000000,-1.17254065,1.37581184,0.00000000
12.00000000,-0.49306590,-1.03495947,0.00000000,-1.03495947,1.49306590,0.00000000
12.10000000,-0.59656185,-0.88565288,0.00000000,-0.88565288,1.59656185,0.00000000
12.20000000,-0.68512714,-0.72599670,0.00000000,-0.72599670,1.68512714,0.00000000
12.30000000,-0.75772681,-0.55748398,0.00000000,-0.55748398,1.75772681,0.00000000
12.40000000,-0.81347521,-0.38171130,0.00000000,-0.38171130,1.81347521,0.00000000
12.50000000,-0.85164634,-0.20036378,0.00000000,-0.20036378,1.85164634,0.00000000
12.60000000,-0.87168271,-0.01519915,0.00000000,-0.01519915,1.87168271,0.00000000
12.70000000,-0.87320263,0.17196912,0.00000000,0.17196912,1.87320263,0.00000000
12.80000000,-0.85600572,0.35928939,0.00000000,0.35928939,1.85600572,0.00000000
12.90000000,-0.82007678,0.54488996,0.00000000,0.54488996,1.82007678,0.00000000
13.00000000,-0.76558778,0.72689764,0.00000000,0.72689764,1.76558778,0.00000000
13.10000000,-0.69289802,0.90345641,0.00000000,0.90345641,1.69289802,0.00000000
13.20000000,-0.60255238,1.07274622,0.00000000,1.07274622,1.60255238,0.00000000
13.30000000,-0.49527775,1.23300145,0.00000000,1.23300145,1.49527775,0.00000000
13.40000000,-0.37197761,1.38252923,0.00000000,1.38252923,1.37197761,0.00000000
13.50000000,-0.23372469,1.51972699,0.00000000,1.51972699,1.23372469,0.00000000
13.60000000,-0.08175199,1.64309946,0.00000000,1.64309946,1.08175199,0.00000000
13.70000000,0.08255796,1.75127466,0.00000000,1.75127466,0.91744204,0.00000000
13.80000000,0.25768542,1.84301886,0.00000000,1.84301886,0.74231458,0.00000000
13.90000000,0.44198731,1.91725032,0.00000000,1.91725032,0.55801269,0.00000000
14.00000000,0.63371234,1.97305159,0.00000000,1.97305159,0.36628766,0.00000000
14.10000000,0.83101750,2.00968035,0.00000000,2.00968035,0.16898250,0.00000000
14.20000000,1.03198554,2.02657860,0.00000000,2.02657860,-0.03198554,0.00000000
14.30000000,1.23464340,2.02338005,0.00000000,2.02338005,-0.23464340,0.00000000
14.40000000,1.43698140,1.99991571,0.00000000,1.99991571,-0.43698140,0.00000000
14.50000000,1.63697297,1.95621757,0.00000000,1.95621757,-0.63697297,0.00000000
14.60000000,1.83259473,1.89252027,0.00000000,1.89252027,-0.83259473,0.00000000
14.70000000,2.02184676,1.80926080,0.00000000,1.80926080,-1.02184676,0.00000000
14.80000000,2.20277284,1.70707612,0.00000000,1.70707612,-1.20277284,0.00000000
14.90000000,2.37348045,1.58679884,0.00000000,1.58679884,-1.37348045,0.00000000
15.00000000,2.53216033,1.44945080,0.00000000,1.44945080,-1.53216033,0.00000000
15.10000000,2.67710541,1.29623476,0.00000000,1.29623476,-1.67710541,0.00000000
