time,x,y,z,vx,vy,vz
10.80000000,1.20614499,-0.98159817,0.00000000,-0.96899344,-0.25209466,0.00000000
10.90000000,1.10721428,-0.99701613,0.00000000,-0.98930715,-0.15417963,0.00000000
11.00000000,1.00723903,-1.00248880,0.00000000,-0.99975247,-0.05472665,0.00000000
11.10000000,0.90721651,-0.99796158,0.00000000,-1.00022519,0.04527223,0.00000000
11.20000000,0.80814445,-0.98347962,0.00000000,-0.99072060,0.14481952,0.00000000
11.30000000,0.71101110,-0.95918740,0.00000000,-0.97133351,0.24292223,0.00000000
11.40000000,0.61678537,-0.92532722,0.00000000,-0.94225731,0.33860177,0.00000000
11.50000000,0.52640716,-0.88223685,0.00000000,-0.90378204,0.43090373,0.00000000
11.60000000,0.44077802,-0.83034611,0.00000000,-0.85629148,0.51890741,0.00000000
11.70000000,0.36075208,-0.77017262,0.00000000,-0.80025936,0.60173495,0.00000000
11.80000000,0.28712762,-0.70231660,0.00000000,-0.73624461,0.67856015,0.00000000
11.90000000,0.22063904,-0.62745493,0.00000000,-0.66488577,0.74861667,0.00000000
12.00000000,0.16194958,-0.54633436,0.00000000,-0.58689465,0.81120569,0.00000000
12.10000000,0.11164466,-0.45976408,0.00000000,-0.50304922,0.86570288,0.00000000
12.20000000,0.07022607,-0.36860761,0.00000000,-0.41418584,0.91156464,0.00000000
12.30000000,0.03810698,-0.27377426,0.00000000,-0.32119094,0.94833348,0.00000000
12.40000000,0.01560776,-0.17621000,0.00000000,-0.22499213,0.97564263,0.00000000
12.50000000,0.00295286,-0.07688803,0.00000000,-0.12654902,0.99321969,0.00000000
12.60000000,0.00026851,0.02320090,0.00000000,-0.02684357,1.00088932,0.00000000
12.70000000,0.00758147,0.12305840,0.00000000,0.07312965,0.99857501,0.00000000
12.80000000,0.02481881,0.22168839,0.00000000,0.17237339,0.98629986,0.00000000
12.90000000,0.05180858,0.31810702,0.00000000,0.26989770,0.96418631,0.00000000
13.00000000,0.08828156,0.41135251,0.00000000,0.36472976,0.93245493,0.00000000
13.10000000,0.13387392,0.50049474,0.00000000,0.45592362,0.89142226,0.00000000
13.20000000,0.18813088,0.58464450,0.00000000,0.54256962,0.84149760,0.00000000
13.30000000,0.25051122,0.66296239,0.00000000,0.62380344,0.78317895,0.00000000
13.40000000,0.32039270,0.73466719,0.00000000,0.69881479,0.71704804,0.00000000
13.50000000,0.39707825,0.79904365,0.00000000,0.76685542,0.64376453,0.00000000
